Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-01 00:00:00-05:00,146.74000549316406,161.72999572753906,146.14999389648438,155.1999969482422,755415400,0.0,0.0
2024-02-01 00:00:00-05:00,155.8699951171875,177.22000122070312,155.6199951171875,176.75999450683594,1045061200,0.0,0.0
2024-03-01 00:00:00-05:00,176.75,181.6999969482422,171.47000122070312,180.3800048828125,701928900,0.0,0.0
2024-04-01 00:00:00-04:00,180.7899932861328,189.77000427246094,166.32000732421875,175.0,917021100,0.0,0.0
2024-05-01 00:00:00-04:00,181.63999938964844,191.6999969482422,173.8699951171875,176.44000244140625,892301700,0.0,0.0
2024-06-01 00:00:00-04:00,177.6999969482422,199.83999633789062,175.9199981689453,193.25,813276000,0.0,0.0
2024-07-01 00:00:00-04:00,193.49000549316406,201.1999969482422,176.8000030517578,186.97999572753906,868061100,0.0,0.0
2024-08-01 00:00:00-04:00,189.2899932861328,190.60000610351562,151.61000061035156,178.5,971023900,0.0,0.0
2024-09-01 00:00:00-04:00,177.5500030517578,195.3699951171875,171.16000366210938,186.3300018310547,765028800,0.0,0.0
2024-10-01 00:00:00-04:00,184.89999389648438,195.61000061035156,180.25,186.39999389648438,733878800,0.0,0.0
2024-11-01 00:00:00-04:00,199.0,215.89999389648438,194.30999755859375,207.88999938964844,905937900,0.0,0.0
2024-12-01 00:00:00-05:00,209.9600067138672,233.0,209.50999450683594,219.38999938964844,760891000,0.0,0.0
2025-01-01 00:00:00-05:00,222.02999877929688,228.8350067138672,218.19000244140625,227.61000061035156,93239220,0.0,0.0
